"Country Name","Currency Name","Currency Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","Notes"
"Solomon Islands","solomon islands dollar","SBD ","","",6.75,7.51,7.48,7.53,7.61,7.65,7.75,8.06,8.06,7.64,"","","",""
"Somalia","somali shillings","SOS","","","","","","","","","","","","","","","",""
"South Africa","rand","ZAR ","","",10.54,7.56,6.46,6.36,6.77,7.05,8.26,8.47,7.32,7.26,"","","",""
"South Sudan","south sudanese pound","SSP ","","","","","","","","","","","","","","","",""
"Spain","euro","EUR","","","","","","","","","","","","","","","",""
"Sri Lanka","sri lankan rupee","LKR ","","",95.66,96.52,101.19,100.5,103.91,110.62,108.33,114.94,113.06,110.57,"","","",""
"St. Kitts and Nevis","east caribbean dollar","XCD","","",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"St. Lucia","east caribbean dollar","XCD","","",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"St. Martin (French part)","euro","EUR","","","","","","","","","","","","","","","",""
"St. Vincent and the Grenadines","east caribbean dollar","XCD","","",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,"","","",""
"Sudan","sudanese pound","SDG ","","",2.63,2.61,2.58,2.44,2.17,2.02,2.09,2.3,2.31,2.67,2.67,2.67,"",""
"Suriname","surinamese dollar","SRD ","","",2.35,2.6,2.73,2.73,2.74,2.75,2.75,2.75,2.75,3.27,"","","",""
"Swaziland","emalangeni","SZL ","","",10.54,7.56,6.46,6.36,6.77,7.05,8.26,8.47,7.32,7.26,"","","",""
"Sweden","swedish kroner","SEK ","",10.3268,9.74,8.09,7.35,7.47,7.38,6.76,6.59,7.65,7.21,6.49,"","","",""
"Switzerland","swiss franc","CHE ","",9.1603,1.56,1.35,1.24,1.25,1.25,1.2,1.08,1.09,1.04,0.89,"","","",""
"Syrian Arab Republic","syrian pound","SYP","","",11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,"","","",""
"Tajikistan","tajikistani somoni","TJS ","","",2.76,3.06,2.97,3.12,3.3,3.44,3.43,4.14,4.38,4.61,"","","",""
"Tanzania","tanzanian shilling","TZS ","","",966.58,1038.42,1089.33,1128.93,1251.9,1245.04,1196.31,1320.31,1409.27,1572.12,"","","",""
"Thailand","baht","THB","","",42.96,41.48,40.22,40.22,37.88,34.52,33.31,34.29,31.69,30.49,"","","",""
"Timor-Leste","us dollar","USD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Togo","communaute financiere africaine franc","XAF","","",696.99,581.2,528.28,527.47,522.89,479.27,447.81,472.19,495.28,471.87,"","","",""
"Tonga","pa'anga","TOP ","","",2.2,2.15,1.97,1.94,2.03,1.97,1.94,2.03,1.91,1.73,"","","",""
"Trinidad and Tobago","trinidad and tobago dollar","TTD ","","",6.25,6.3,6.3,6.3,6.31,6.33,6.29,6.32,6.38,6.41,"","","",""
"Tunisia","tunisian dinar","TND ","","",1.42,1.29,1.25,1.3,1.33,1.28,1.23,1.35,1.43,1.41,"","","",""
"Turkey","turkish lira","TRY","","",1.51,1.5,1.43,1.34,1.43,1.3,1.3,1.55,1.5,1.67,"","","",""
"Turkmenistan","turkmen manat","TMT ","","","","","","","","","","","","","","","",""
"Turks and Caicos Islands","us dollar","USD","","","","","","","","","","","","","","","",""
"Tuvalu","","AUD ","","","","","","","","","","","","","","","",""
"Uganda","ugandan shilling","UGX ","","",1797.55,1963.72,1810.3,1780.67,1831.45,1723.49,1720.44,2030.49,2177.56,2522.75,"","","",""
"Ukraine","hryvnia","UAH ","","",5.33,5.33,5.32,5.12,5.05,5.05,5.27,7.79,7.94,7.97,"","","",""
"United Arab Emirates","emirati dirham","AED ","","",3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,"","","",""
"United Kingdom","british pound","GBP","","",0.67,0.61,0.55,0.55,0.54,0.5,0.54,0.64,0.65,0.62,"","","",""
"United States","us dollar","USD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Uruguay","uruguayan peso","UYI ","","",21.26,28.21,28.7,24.48,24.07,23.47,20.95,22.57,20.06,19.31,"","","",""
"Uzbekistan","uzbekistani soum","UZS ","","","","","","","","","","","","","","","",""
"Vanuatu","vatu","VUV ","","",139.2,122.19,111.79,109.25,110.64,102.44,101.33,106.74,96.91,87.03,"","","",""
"Venezuela  RB","bolivar","VEF","","",1.16,1.61,1.89,2.09,2.15,2.15,2.15,2.15,2.58,4.29,"","","",""
"Vietnam","dong","VND ","","",1279.5,1509.58,1746,1858.92,1994.25,1105.13,1302.25,1065.08,1612.92,2450.1,"","","",""
"Virgin Islands (U.S.)","us dollar","USD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"West Bank and Gaza","israeli shekel","ILS","","","","","","","","","","","","","","","",""
"Yemen  Rep.","yemeni rial","YER","","",175.63,183.45,184.78,191.51,197.05,198.95,199.76,202.85,219.59,213.8,"","","",""
"Zambia","zambia kwacha","ZMK ","","",4398.6,4733.27,4778.88,4463.5,3603.07,4002.52,3745.66,5046.11,4797.14,4860.67,"","","",""
"Zimbabwe","zimbabwean dollars","ZWL ","","",0.06,0.7,5.07,22.39,164.55,9686.77,6723052073.34,"","","","","","",""
