location ID,district,block,gram panchayat,village,display name,latitude,longitude,notes: re location,supply chain level,function,sector,fixed/mobile,operating schedule,hectares under cultivation for potatoes,total population in village
3070111,Cuttack,Salepur,Gopinathpur,Satyabhamapur,"Weekly Market, Satyabhamapur",20.2487514,85.8933908,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2080
3070112,Cuttack,Salepur,Katarapa,Katarapa,"Weekly Market, Katarapa",20.521045,86.0975518,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1854
3070113,Cuttack,Salepur,Mahajanpur,Kulinda,"Weekly Market, Kulinda",20.5026957,86.009606,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,300
3070114,Cuttack,Salepur,Mahajanpur,Laxminarayanapur,"Weekly Market, Laxminarayanapur",20.4969808,86.0198103,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2163
3070115,Cuttack,Salepur,Mahana,Basudeipur,"Weekly Market, Basudeipur",20.624892,86.152124,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,947
3070116,Cuttack,Salepur,Malasasana,Malasasan,"Weekly Market, Malasasan",20.568464,86.0899103,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2177
3070117,Cuttack,Salepur,Nandola,Nandola,"Weekly Market, Nandola",20.484007,86.120222,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,4450
3070118,Cuttack,Salepur,Narda,Narada,"Weekly Market, Narada",20.553093,86.07248,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1226
3070119,Cuttack,Salepur,Odasingh,Odasingh,"Weekly Market, Odasingh",20.5396491,86.0981886,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,1992
3070120,Cuttack,Salepur,Raisunguda,Madhanga,"Weekly Market, Madhanga",20.5280705,86.1459216,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,522
3070121,Cuttack,Salepur,Raisunguda,Raisunguda,"Weekly Market, Raisunguda",20.519226,86.148273,Alternate spelling: Rai Sunghra,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,2632
3070122,Cuttack,Salepur,Rameswar,Rameswar,"Weekly Market, Rameswar",20.0211929,85.5174488,0,Village Trader,"Aggregation, Trade, Retail",Public,Fixed,Weekly Market,,696
